"";"instant";"dteday";"season";"yr";"mnth";"hr";"holiday";"weekday";"workingday";"weathersit";"temp";"atemp";"hum";"windspeed";"casual";"registered";"cnt"
"8051";8051;"2011-12-07";4;0;12;2;0;3;1;3;0,46;0,4545;1;0,2239;2;4;6
"3442";3442;"2011-05-28";2;0;5;7;0;6;0;1;0,6;0,5606;0,83;0,2537;17;33;50
"8938";8938;"2012-01-13";1;1;1;6;0;5;1;2;0,26;0,2576;0,75;0,2239;2;71;73
"6684";6684;"2011-10-11";4;0;10;1;0;2;1;2;0,52;0,5;0,94;0,0896;2;9;11
"250";250;"2011-01-11";1;0;1;18;0;2;1;3;0,16;0,1818;0,93;0,1045;1;94;95
"1310";1310;"2011-02-27";1;0;2;18;0;0;0;1;0,4;0,4091;0,54;0,194;24;103;127
"9105";9105;"2012-01-20";1;1;1;6;0;5;1;1;0,24;0,2121;0,6;0,2836;0;68;68
"9834";9834;"2012-02-19";1;1;2;16;0;0;0;2;0,32;0,303;0,45;0,2836;62;150;212
"14163";14163;"2012-08-18";3;1;8;7;0;6;0;1;0,6;0,5606;0,83;0,2239;12;52;64
"1265";1265;"2011-02-25";1;0;2;20;0;5;1;1;0,3;0,2576;0,49;0,6119;2;60;62
"558";558;"2011-01-25";1;0;1;10;0;2;1;2;0,22;0,2424;0,6;0,1045;6;49;55
"7781";7781;"2011-11-25";4;0;11;19;0;5;1;1;0,42;0,4242;0,67;0;38;96;134
"11518";11518;"2012-04-30";2;1;4;2;0;1;1;1;0,42;0,4242;0,71;0,1343;3;5;8
"5159";5159;"2011-08-07";3;0;8;20;0;0;0;1;0,72;0,7121;0,84;0,1343;50;133;183
"8077";8077;"2011-12-08";4;0;12;4;0;4;1;2;0,24;0,197;0,6;0,4627;0;2;2
"5999";5999;"2011-09-12";3;0;9;12;0;1;1;1;0,72;0,6667;0,51;0,194;37;147;184
"12130";12130;"2012-05-25";2;1;5;14;0;5;1;1;0,74;0,6818;0,58;0,1343;104;263;367
"4316";4316;"2011-07-03";3;0;7;17;0;0;0;3;0,8;0,7424;0,49;0,8507;181;177;358
"7471";7471;"2011-11-12";4;0;11;21;0;6;0;1;0,42;0,4242;0,47;0,2836;19;103;122
"7907";7907;"2011-12-01";4;0;12;2;0;4;1;1;0,26;0,2273;0,56;0,2985;1;8;9
"15976";15976;"2012-11-03";4;1;11;8;0;6;0;2;0,34;0,303;0,46;0,2985;10;132;142
"9639";9639;"2012-02-11";1;1;2;13;0;6;0;2;0,26;0,2424;0,81;0,2836;18;217;235
"16830";16830;"2012-12-09";4;1;12;0;0;0;0;2;0,4;0,4091;0,87;0,1343;15;103;118
"7210";7210;"2011-11-02";4;0;11;0;0;3;1;1;0,32;0,3485;0,87;0;0;19;19
"5066";5066;"2011-08-03";3;0;8;23;0;3;1;2;0,68;0,6364;0,89;0,0896;4;52;56
"12989";12989;"2012-06-30";3;1;6;9;0;6;0;1;0,64;0,5758;0,89;0,1642;41;234;275
"15892";15892;"2012-10-30";4;1;10;20;0;2;1;2;0,3;0,2879;0,81;0,194;5;76;81
"6926";6926;"2011-10-21";4;0;10;4;0;5;1;1;0,36;0,3485;0,71;0,1642;0;6;6
"7419";7419;"2011-11-10";4;0;11;17;0;4;1;3;0,36;0,3485;0,81;0,2239;9;168;177
"1149";1149;"2011-02-20";1;0;2;15;0;0;0;1;0,36;0,3636;0,27;0,0896;66;102;168
"2371";2371;"2011-04-13";2;0;4;16;0;3;1;1;0,46;0,4545;0,67;0,2836;23;119;142
"11794";11794;"2012-05-11";2;1;5;14;0;5;1;1;0,62;0,6061;0,23;0,2239;116;218;334
"6988";6988;"2011-10-23";4;0;10;18;0;0;0;1;0,5;0,4848;0,63;0,1045;88;196;284
"1454";1454;"2011-03-05";1;0;3;20;0;6;0;2;0,44;0,4394;0,77;0,3284;12;58;70
"5489";5489;"2011-08-21";3;0;8;14;0;0;0;3;0,7;0,6667;0,79;0,3881;78;157;235
"5953";5953;"2011-09-10";3;0;9;13;0;6;0;1;0,74;0,6818;0,55;0,2836;131;239;370
"5704";5704;"2011-08-31";3;0;8;2;0;3;1;1;0,56;0,5303;0,73;0;1;5;6
"15613";15613;"2012-10-17";4;1;10;17;0;3;1;1;0,54;0,5152;0,56;0,1045;122;766;888
"15220";15220;"2012-10-01";4;1;10;8;0;1;1;2;0,46;0,4545;0,77;0,1045;40;744;784
"981";981;"2011-02-13";1;0;2;12;0;0;0;1;0,36;0,3182;0,32;0,4627;58;94;152
"12523";12523;"2012-06-10";2;1;6;23;0;0;0;1;0,72;0,6667;0,58;0,1045;30;80;110
"3109";3109;"2011-05-14";2;0;5;10;0;6;0;2;0,52;0,5;0,94;0,1642;34;133;167
"10666";10666;"2012-03-25";2;1;3;12;0;0;0;2;0,4;0,4091;0,94;0,2239;122;238;360
"14618";14618;"2012-09-06";3;1;9;6;0;4;1;2;0,7;0,6667;0,84;0,0896;11;189;200
"742";742;"2011-02-03";1;0;2;7;0;4;1;1;0,14;0,1212;0,5;0,3284;1;86;87
"2617";2617;"2011-04-23";2;0;4;22;0;6;0;2;0,58;0,5455;0,78;0,2537;55;114;169
"2908";2908;"2011-05-06";2;0;5;1;0;5;1;1;0,4;0,4091;0,62;0,1642;8;24;32
"5667";5667;"2011-08-29";3;0;8;13;0;1;1;2;0,7;0,6364;0,39;0;48;170;218
"13376";13376;"2012-07-16";3;1;7;12;0;1;1;1;0,84;0,7879;0,49;0,1343;79;158;237
"10403";10403;"2012-03-14";1;1;3;13;0;3;1;1;0,66;0,6212;0,27;0,2239;57;197;254
"2307";2307;"2011-04-10";2;0;4;23;0;0;0;1;0,46;0,4545;0,88;0,3582;5;27;32
"12247";12247;"2012-05-30";2;1;5;11;0;3;1;2;0,66;0,6212;0,65;0,194;53;155;208
"14684";14684;"2012-09-09";3;1;9;0;0;0;0;2;0,56;0,5303;0,73;0,194;18;106;124
"8026";8026;"2011-12-06";4;0;12;1;0;2;1;2;0,46;0,4545;0,88;0,2985;2;14;16
"11939";11939;"2012-05-17";2;1;5;15;0;4;1;1;0,64;0,6212;0,36;0,2537;83;233;316
"5795";5795;"2011-09-03";3;0;9;21;0;6;0;1;0,68;0,6364;0,83;0,1343;71;93;164
"14508";14508;"2012-09-01";3;1;9;16;0;6;0;2;0,84;0,7879;0,49;0,1642;209;253;462
"1631";1631;"2011-03-13";1;0;3;11;0;0;0;1;0,44;0,4394;0,41;0,4179;88;93;181
"5629";5629;"2011-08-27";3;0;8;10;0;6;0;2;0,7;0,6667;0,79;0,4627;51;154;205
"16579";16579;"2012-11-28";4;1;11;12;0;3;1;1;0,34;0,303;0,42;0,3881;19;189;208
"136";136;"2011-01-06";1;0;1;21;0;4;1;2;0,22;0,2121;0,55;0,2239;0;48;48
"8849";8849;"2012-01-09";1;1;1;12;0;1;1;2;0,26;0,2727;0,56;0,1045;10;93;103
"15467";15467;"2012-10-11";4;1;10;15;0;4;1;1;0,52;0,5;0,34;0,1642;102;358;460
"216";216;"2011-01-10";1;0;1;6;0;1;1;1;0,12;0,1212;0,5;0,2836;0;31;31
"8004";8004;"2011-12-05";4;0;12;3;0;1;1;1;0,32;0,3485;0,87;0;0;2;2
"15905";15905;"2012-10-31";4;1;10;9;0;3;1;1;0,34;0,3333;0,76;0,1343;17;280;297
"13774";13774;"2012-08-02";3;1;8;2;0;4;1;1;0,66;0,6061;0,83;0,0896;3;8;11
"1366";1366;"2011-03-02";1;0;3;4;0;3;1;1;0,2;0,2121;0,75;0,1343;1;0;1
"1864";1864;"2011-03-23";2;0;3;10;0;3;1;2;0,34;0,3182;0,81;0,2836;15;60;75
"10278";10278;"2012-03-09";1;1;3;7;0;5;1;2;0,38;0,3939;0,4;0,2985;6;262;268
"7670";7670;"2011-11-21";4;0;11;4;0;1;1;3;0,44;0,4394;1;0,1343;0;5;5
"11572";11572;"2012-05-02";2;1;5;8;0;3;1;2;0,56;0,5303;0,88;0;26;640;666
"3960";3960;"2011-06-18";2;0;6;21;0;6;0;2;0,72;0,6818;0,66;0,1045;58;125;183
"5932";5932;"2011-09-09";3;0;9;16;0;5;1;1;0,74;0,697;0,66;0,1343;41;244;285
"11877";11877;"2012-05-15";2;1;5;1;0;2;1;3;0,56;0,5303;0,88;0,1343;5;14;19
"15039";15039;"2012-09-23";4;1;9;19;0;0;0;1;0,52;0,5;0,42;0,1642;82;331;413
"7073";7073;"2011-10-27";4;0;10;7;0;4;1;2;0,46;0,4545;0,94;0,0896;9;128;137
"6324";6324;"2011-09-26";4;0;9;1;0;1;1;2;0,62;0,5606;0,88;0,1045;3;14;17
"8021";8021;"2011-12-05";4;0;12;20;0;1;1;2;0,46;0,4545;0,82;0,1045;15;190;205
"11479";11479;"2012-04-28";2;1;4;11;0;6;0;2;0,38;0,3939;0,4;0,1045;96;262;358
"9433";9433;"2012-02-02";1;1;2;22;0;4;1;1;0,32;0,2879;0,49;0,4179;3;106;109
"12815";12815;"2012-06-23";3;1;6;3;0;6;0;2;0,64;0,5758;0,83;0,0896;10;32;42
"6709";6709;"2011-10-12";4;0;10;2;0;3;1;2;0,56;0,5303;0,83;0,2836;0;2;2
"1013";1013;"2011-02-14";1;0;2;20;0;1;1;1;0,36;0,3182;0,46;0,4627;5;65;70
"12980";12980;"2012-06-30";3;1;6;0;0;6;0;3;0,64;0,5758;0,89;0,1642;4;65;69
"14957";14957;"2012-09-20";3;1;9;9;0;4;1;1;0,56;0,5303;0,6;0,0896;25;330;355
"691";691;"2011-02-01";1;0;2;2;0;2;1;2;0,16;0,2273;0,69;0;0;2;2
"2177";2177;"2011-04-05";2;0;4;13;0;2;1;2;0,36;0,3333;0,63;0,4179;5;51;56
"14663";14663;"2012-09-08";3;1;9;3;0;6;0;2;0,66;0,5909;0,89;0,2239;3;40;43
"13416";13416;"2012-07-18";3;1;7;4;0;3;1;1;0,72;0,6818;0,7;0,1343;0;6;6
"6929";6929;"2011-10-21";4;0;10;7;0;5;1;1;0,36;0,3485;0,71;0,1642;5;228;233
"7229";7229;"2011-11-02";4;0;11;19;0;3;1;1;0,4;0,4091;0,76;0,1343;25;257;282
"14941";14941;"2012-09-19";3;1;9;17;0;3;1;1;0,6;0,6212;0,38;0,2239;74;812;886
"17372";17372;"2012-12-31";1;1;12;16;0;1;1;2;0,26;0,2576;0,48;0,194;30;184;214
"11113";11113;"2012-04-13";2;1;4;5;0;5;1;2;0,34;0,3333;0,53;0,1642;2;19;21
"11120";11120;"2012-04-13";2;1;4;12;0;5;1;1;0,5;0,4848;0,31;0;104;218;322
"13938";13938;"2012-08-08";3;1;8;22;0;3;1;1;0,72;0,697;0,74;0,1045;35;198;233
"14199";14199;"2012-08-19";3;1;8;19;0;0;0;2;0,64;0,6061;0,73;0,1343;72;269;341
"473";473;"2011-01-21";1;0;1;17;0;5;1;1;0,14;0,1212;0,28;0,3582;10;151;161
"9214";9214;"2012-01-24";1;1;1;19;0;2;1;1;0,44;0,4394;0,51;0,0896;20;311;331
"7155";7155;"2011-10-30";4;0;10;17;0;0;0;1;0,4;0,4091;0,35;0,1045;54;191;245
"15968";15968;"2012-11-03";4;1;11;0;0;6;0;1;0,34;0,3333;0,53;0,1642;9;99;108
"15097";15097;"2012-09-26";4;1;9;5;0;3;1;1;0,56;0,5303;0,73;0,2239;1;35;36
"9417";9417;"2012-02-02";1;1;2;6;0;4;1;3;0,36;0,3788;0,9;0;1;73;74
"15114";15114;"2012-09-26";4;1;9;22;0;3;1;3;0,62;0,6061;0,69;0,194;21;194;215
"9871";9871;"2012-02-21";1;1;2;7;0;2;1;1;0,22;0,2727;0,64;0;6;273;279
"11743";11743;"2012-05-09";2;1;5;11;0;3;1;2;0,62;0,6212;0,59;0,2985;45;156;201
"5849";5849;"2011-09-06";3;0;9;4;0;2;1;2;0,54;0,5152;0,94;0,2985;1;3;4
"5371";5371;"2011-08-16";3;0;8;16;0;2;1;1;0,8;0,7121;0,41;0,2239;55;248;303
"787";787;"2011-02-05";1;0;2;5;0;6;0;3;0,2;0,2273;1;0,0896;0;9;9
"5341";5341;"2011-08-15";3;0;8;10;0;1;1;1;0,68;0,6364;0,69;0,2836;54;87;141
"13988";13988;"2012-08-11";3;1;8;0;0;6;0;1;0,7;0,6515;0,7;0,2836;38;142;180
"2847";2847;"2011-05-03";2;0;5;12;0;2;1;2;0,68;0,6364;0,61;0,4925;48;169;217
"17024";17024;"2012-12-17";4;1;12;2;0;1;1;2;0,38;0,3939;0,94;0;1;4;5
"5170";5170;"2011-08-08";3;0;8;7;0;1;1;1;0,72;0,6818;0,62;0,2985;18;249;267
"14799";14799;"2012-09-13";3;1;9;19;0;4;1;1;0,64;0,6061;0,65;0,1343;80;594;674
"8498";8498;"2011-12-25";1;0;12;18;0;0;0;1;0,32;0,3182;0,7;0,194;7;23;30
"12676";12676;"2012-06-17";2;1;6;8;0;0;0;1;0,56;0,5303;0,68;0,2537;24;95;119
"16017";16017;"2012-11-05";4;1;11;1;0;1;1;2;0,3;0,303;0,56;0,1642;0;8;8
"5596";5596;"2011-08-26";3;0;8;1;0;5;1;1;0,62;0,5758;0,83;0;10;13;23
"1902";1902;"2011-03-25";2;0;3;0;0;5;1;1;0,24;0,2273;0,6;0,194;1;17;18
"1598";1598;"2011-03-12";1;0;3;1;0;6;0;1;0,24;0,2273;0,65;0,194;3;15;18
"17236";17236;"2012-12-26";1;1;12;0;0;3;1;2;0,28;0,2727;0,65;0,2537;1;8;9
"8548";8548;"2011-12-27";1;0;12;21;0;2;1;1;0,32;0,3333;0,87;0,0896;11;52;63
"5823";5823;"2011-09-05";3;0;9;1;1;1;0;2;0,68;0,6364;0,79;0,1045;19;35;54
"9457";9457;"2012-02-03";1;1;2;22;0;5;1;1;0,34;0,3485;0,49;0,1045;3;116;119
"6143";6143;"2011-09-18";3;0;9;12;0;0;0;1;0,54;0,5152;0,64;0,1343;135;229;364
"15657";15657;"2012-10-19";4;1;10;13;0;5;1;1;0,62;0,5909;0,73;0,2239;87;288;375
"9082";9082;"2012-01-19";1;1;1;7;0;4;1;1;0,12;0,1667;0,54;0,0896;2;204;206
"2761";2761;"2011-04-29";2;0;4;22;0;5;1;1;0,42;0,4242;0,58;0,1642;36;110;146
"11411";11411;"2012-04-25";2;1;4;15;0;3;1;1;0,58;0,5455;0,19;0,1642;47;182;229
"9408";9408;"2012-02-01";1;1;2;21;0;3;1;1;0,52;0,5;0,52;0,1642;16;217;233
"7960";7960;"2011-12-03";4;0;12;7;0;6;0;1;0,22;0,2576;0,75;0,0896;2;24;26
"1275";1275;"2011-02-26";1;0;2;6;0;6;0;1;0,22;0,2727;0,6;0;1;6;7
"15838";15838;"2012-10-27";4;1;10;2;0;6;0;2;0,5;0,4848;0,88;0,194;19;71;90
"2636";2636;"2011-04-24";2;0;4;17;0;0;0;1;0,66;0,6212;0,65;0,2985;142;189;331
"11448";11448;"2012-04-27";2;1;4;4;0;5;1;1;0,42;0,4242;0,44;0,2537;0;6;6
"13777";13777;"2012-08-02";3;1;8;5;0;4;1;1;0,66;0,5909;0,89;0,1343;4;37;41
"4327";4327;"2011-07-04";3;0;7;4;1;1;0;2;0,66;0,6061;0,78;0,0896;8;4;12
"4647";4647;"2011-07-17";3;0;7;12;0;0;0;1;0,76;0,697;0,55;0,2836;177;243;420
"9127";9127;"2012-01-21";1;1;1;4;0;6;0;3;0,16;0,197;0,86;0,0896;0;1;1
"14820";14820;"2012-09-14";3;1;9;16;0;5;1;2;0,72;0,6667;0,51;0;109;454;563
"14543";14543;"2012-09-03";3;1;9;3;1;1;0;1;0,66;0,5909;0,89;0,1343;6;22;28
"13092";13092;"2012-07-04";3;1;7;16;1;3;0;1;0,92;0,8485;0,35;0,2537;163;226;389
"8895";8895;"2012-01-11";1;1;1;11;0;3;1;2;0,26;0,2879;0,87;0,0896;9;90;99
"12969";12969;"2012-06-29";3;1;6;13;0;5;1;1;0,94;0,8788;0,38;0,194;45;194;239
"5122";5122;"2011-08-06";3;0;8;7;0;6;0;1;0,68;0,6364;0,83;0,1642;14;49;63
"14363";14363;"2012-08-26";3;1;8;15;0;0;0;3;0,64;0,5758;0,89;0,2836;132;259;391
"11589";11589;"2012-05-03";2;1;5;1;0;4;1;2;0,46;0,4545;0,88;0,1045;9;15;24
"14716";14716;"2012-09-10";3;1;9;8;0;1;1;1;0,56;0,5303;0,6;0,2836;33;697;730
"7806";7806;"2011-11-26";4;0;11;20;0;6;0;2;0,42;0,4242;0,58;0;55;86;141
"13662";13662;"2012-07-28";3;1;7;10;0;6;0;1;0,82;0,7727;0,52;0,2239;129;266;395
"2081";2081;"2011-04-01";2;0;4;13;0;5;1;1;0,36;0,3333;0,5;0,3582;18;92;110
"4742";4742;"2011-07-21";3;0;7;11;0;4;1;2;0,86;0,8939;0,63;0,2985;27;79;106
"2919";2919;"2011-05-06";2;0;5;12;0;5;1;1;0,56;0,5303;0,49;0,3582;48;198;246
"13749";13749;"2012-08-01";3;1;8;1;0;3;1;1;0,66;0,6061;0,83;0,0896;5;28;33
"4731";4731;"2011-07-21";3;0;7;0;0;4;1;2;0,76;0,7424;0,75;0,194;13;29;42
"12368";12368;"2012-06-04";2;1;6;12;0;1;1;1;0,64;0,6212;0,41;0,4478;62;220;282
"15843";15843;"2012-10-27";4;1;10;7;0;6;0;1;0,48;0,4697;0,83;0,194;7;79;86
"3680";3680;"2011-06-07";2;0;6;5;0;2;1;1;0,58;0,5455;0,88;0,1642;2;30;32
"16656";16656;"2012-12-01";4;1;12;18;0;6;0;2;0,34;0,3636;0,76;0;42;255;297
"12842";12842;"2012-06-24";3;1;6;6;0;0;0;1;0,64;0,6061;0,65;0,1642;6;19;25
"12477";12477;"2012-06-09";2;1;6;1;0;6;0;1;0,64;0,6212;0,53;0,0896;34;89;123
"2539";2539;"2011-04-20";2;0;4;16;0;3;1;2;0,76;0,6667;0,35;0,3582;54;201;255
"650";650;"2011-01-30";1;0;1;9;0;0;0;2;0,16;0,2273;0,8;0;4;34;38
"16623";16623;"2012-11-30";4;1;11;9;0;5;1;1;0,24;0,2576;0,75;0,0896;17;313;330
"2649";2649;"2011-04-25";2;0;4;6;0;1;1;2;0,5;0,4848;1;0;7;59;66
"9383";9383;"2012-01-31";1;1;1;20;0;2;1;1;0,4;0,4091;0,58;0,1045;15;223;238
"15826";15826;"2012-10-26";4;1;10;14;0;5;1;2;0,6;0,6061;0,64;0,1343;99;252;351
"4573";4573;"2011-07-14";3;0;7;10;0;4;1;1;0,7;0,6364;0,42;0,2537;32;95;127
"14356";14356;"2012-08-26";3;1;8;8;0;0;0;1;0,68;0,6364;0,79;0,2836;21;112;133
"9370";9370;"2012-01-31";1;1;1;7;0;2;1;1;0,26;0,2576;0,6;0,194;6;273;279
"6454";6454;"2011-10-01";4;0;10;11;0;6;0;3;0,38;0,3939;0,82;0,3284;30;102;132
"8689";8689;"2012-01-02";1;1;1;20;1;1;0;1;0,24;0,2273;0,41;0,2239;5;83;88
"8599";8599;"2011-12-30";1;0;12;1;0;5;1;1;0,26;0,2879;0,65;0,0896;9;11;20
"517";517;"2011-01-23";1;0;1;15;0;0;0;1;0,16;0,1364;0,28;0,3582;13;64;77
"1806";1806;"2011-03-20";1;0;3;22;0;0;0;2;0,34;0,303;0,53;0,3284;8;30;38
"5015";5015;"2011-08-01";3;0;8;20;0;1;1;1;0,72;0,6818;0,62;0,2239;49;256;305
"4694";4694;"2011-07-19";3;0;7;11;0;2;1;1;0,82;0,803;0,59;0;29;98;127
"4193";4193;"2011-06-28";3;0;6;14;0;2;1;1;0,86;0,7879;0,44;0,2239;43;117;160
"3164";3164;"2011-05-16";2;0;5;17;0;1;1;1;0,58;0,5455;0,88;0,2239;47;227;274
"9661";9661;"2012-02-12";1;1;2;11;0;0;0;1;0,12;0,1061;0,42;0,2985;3;121;124
"4565";4565;"2011-07-14";3;0;7;2;0;4;1;1;0,64;0,6212;0,57;0,2985;3;7;10
"15655";15655;"2012-10-19";4;1;10;11;0;5;1;1;0,6;0,5606;0,83;0,194;41;211;252
"1152";1152;"2011-02-20";1;0;2;18;0;0;0;2;0,34;0,3333;0,36;0,1343;30;71;101
"4726";4726;"2011-07-20";3;0;7;19;0;3;1;1;0,82;0,8485;0,67;0,1642;59;323;382
"2580";2580;"2011-04-22";2;0;4;9;0;5;1;3;0,34;0,303;0,61;0,2985;17;178;195
"10527";10527;"2012-03-19";1;1;3;17;0;1;1;1;0,64;0,6212;0,53;0,2239;106;615;721
"7307";7307;"2011-11-06";4;0;11;1;0;0;0;1;0,26;0,303;0,81;0;11;104;115
"9711";9711;"2012-02-14";1;1;2;13;0;2;1;2;0,36;0,3333;0,4;0,2537;6;167;173
"8408";8408;"2011-12-21";1;0;12;23;0;3;1;1;0,5;0,4848;0,88;0,194;0;54;54
"1897";1897;"2011-03-24";2;0;3;19;0;4;1;1;0,3;0,2727;0,56;0,3881;16;122;138
"9666";9666;"2012-02-12";1;1;2;16;0;0;0;1;0,2;0,1667;0,34;0,4627;16;148;164
"5156";5156;"2011-08-07";3;0;8;17;0;0;0;3;0,74;0,7121;0,74;0,6418;63;131;194
"1390";1390;"2011-03-03";1;0;3;4;0;4;1;1;0,16;0,1212;0,31;0,4925;0;1;1
"12748";12748;"2012-06-20";2;1;6;8;0;3;1;2;0,7;0,6667;0,79;0,1045;43;600;643
"141";141;"2011-01-07";1;0;1;2;0;5;1;2;0,2;0,197;0,69;0,2239;0;1;1
"16402";16402;"2012-11-21";4;1;11;3;0;3;1;1;0,28;0,2879;0,87;0,1045;0;2;2
"7738";7738;"2011-11-24";4;0;11;0;1;4;0;1;0,32;0,303;0,57;0,2239;1;22;23
"6647";6647;"2011-10-09";4;0;10;12;0;0;0;1;0,64;0,6212;0,44;0,0896;212;243;455
"16798";16798;"2012-12-07";4;1;12;16;0;5;1;1;0,36;0,3485;0,76;0,1343;39;336;375
"14933";14933;"2012-09-19";3;1;9;9;0;3;1;1;0,54;0,5152;0,6;0,2537;26;336;362
"17156";17156;"2012-12-22";1;1;12;14;0;6;0;1;0,32;0,2879;0,36;0,4627;20;141;161
"8027";8027;"2011-12-06";4;0;12;2;0;2;1;2;0,46;0,4545;0,87;0,194;0;3;3
"474";474;"2011-01-21";1;0;1;18;0;5;1;1;0,12;0,1212;0,3;0,2537;1;119;120
"5779";5779;"2011-09-03";3;0;9;5;0;6;0;1;0,62;0,6061;0,69;0,194;3;9;12
"11272";11272;"2012-04-19";2;1;4;20;0;4;1;1;0,56;0,5303;0,49;0,2239;52;352;404
"8845";8845;"2012-01-09";1;1;1;8;0;1;1;2;0,22;0,2576;0,55;0,0896;13;407;420
"11129";11129;"2012-04-13";2;1;4;21;0;5;1;1;0,5;0,4848;0,36;0;36;153;189
"10711";10711;"2012-03-27";2;1;3;9;0;2;1;1;0,24;0,2273;0,38;0,194;8;259;267
"9168";9168;"2012-01-22";1;1;1;21;0;0;0;3;0,16;0,1818;0,86;0,1045;8;36;44
"9327";9327;"2012-01-29";1;1;1;12;0;0;0;1;0,32;0,303;0,26;0,2239;73;215;288
"2501";2501;"2011-04-19";2;0;4;2;0;2;1;1;0,46;0,4545;0,67;0,2836;8;5;13
"3141";3141;"2011-05-15";2;0;5;18;0;0;0;1;0,56;0,5303;0,78;0,2537;60;177;237
"3603";3603;"2011-06-04";2;0;6;0;0;6;0;1;0,56;0,5303;0,52;0;24;69;93
"8897";8897;"2012-01-11";1;1;1;13;0;3;1;3;0,32;0,3485;0,76;0;8;57;65
"5912";5912;"2011-09-08";3;0;9;20;0;4;1;2;0,62;0,5455;0,94;0,1642;6;83;89
"12407";12407;"2012-06-06";2;1;6;3;0;3;1;1;0,46;0,4545;0,82;0;0;8;8
"4207";4207;"2011-06-29";3;0;6;4;0;3;1;1;0,66;0,6061;0,83;0,1045;0;5;5
"2802";2802;"2011-05-01";2;0;5;15;0;0;0;2;0,5;0,4848;0,72;0;113;153;266
"15854";15854;"2012-10-27";4;1;10;18;0;6;0;2;0,56;0,5303;0,64;0,2836;138;318;456
"5903";5903;"2011-09-08";3;0;9;11;0;4;1;2;0,64;0,5606;0,94;0,2239;16;82;98
"4774";4774;"2011-07-22";3;0;7;19;0;5;1;2;0,86;0,7879;0,41;0,1045;40;210;250
"6639";6639;"2011-10-09";4;0;10;4;0;0;0;1;0,44;0,4394;0,88;0;7;7;14
"2296";2296;"2011-04-10";2;0;4;12;0;0;0;2;0,42;0,4242;0,88;0,1343;94;136;230
"17169";17169;"2012-12-23";1;1;12;3;0;0;0;1;0,2;0,2121;0,51;0,1343;0;9;9
"7394";7394;"2011-11-09";4;0;11;16;0;3;1;1;0,52;0,5;0,48;0,194;24;257;281
"10233";10233;"2012-03-07";1;1;3;10;0;3;1;1;0,36;0,3333;0,5;0,2985;20;127;147
"1073";1073;"2011-02-17";1;0;2;10;0;4;1;1;0,38;0,3939;0,54;0,194;18;70;88
"17147";17147;"2012-12-22";1;1;12;5;0;6;0;1;0,26;0,2273;0,48;0,4179;0;5;5
"1524";1524;"2011-03-08";1;0;3;20;0;2;1;1;0,32;0,3333;0,39;0,0896;2;74;76
"199";199;"2011-01-09";1;0;1;13;0;0;0;1;0,2;0,1667;0,34;0,4478;6;69;75
"13604";13604;"2012-07-26";3;1;7;0;0;4;1;1;0,66;0,6212;0,65;0,194;27;65;92
"1553";1553;"2011-03-10";1;0;3;1;0;4;1;3;0,34;0,3182;0;0,2537;0;2;2
"9962";9962;"2012-02-25";1;1;2;2;0;6;0;1;0,32;0,303;0,45;0,2537;1;37;38
"8053";8053;"2011-12-07";4;0;12;4;0;3;1;3;0,46;0,4545;1;0,1642;0;1;1
"14109";14109;"2012-08-16";3;1;8;1;0;4;1;1;0,64;0,6061;0,73;0;3;18;21
"3719";3719;"2011-06-08";2;0;6;20;0;3;1;1;0,8;0,7879;0,63;0,1343;55;225;280
"16332";16332;"2012-11-18";4;1;11;5;0;0;0;1;0,28;0,2879;0,81;0,1343;5;7;12
"3836";3836;"2011-06-13";2;0;6;17;0;1;1;1;0,7;0,6364;0,39;0,3284;72;529;601
"8384";8384;"2011-12-20";4;0;12;23;0;2;1;2;0,38;0,3939;0,62;0;13;40;53
"337";337;"2011-01-15";1;0;1;12;0;6;0;1;0,24;0,2273;0,48;0,2239;15;74;89
"2186";2186;"2011-04-05";2;0;4;22;0;2;1;1;0,32;0,303;0,49;0,2985;3;43;46
"11530";11530;"2012-04-30";2;1;4;14;0;1;1;2;0,5;0,4848;0,55;0,1343;56;162;218
"6971";6971;"2011-10-23";4;0;10;1;0;0;0;1;0,36;0,3788;0,87;0;11;60;71
"4430";4430;"2011-07-08";3;0;7;11;0;5;1;2;0,74;0,7121;0,74;0,2537;61;104;165
"7220";7220;"2011-11-02";4;0;11;10;0;3;1;1;0,4;0,4091;0,71;0,0896;25;108;133
"728";728;"2011-02-02";1;0;2;16;0;3;1;1;0,36;0,3333;0,71;0,2985;8;95;103
"12168";12168;"2012-05-27";2;1;5;4;0;0;0;1;0,62;0,5758;0,83;0,194;4;7;11
"1746";1746;"2011-03-18";1;0;3;10;0;5;1;1;0,52;0,5;0,53;0,2836;43;74;117
"12235";12235;"2012-05-29";2;1;5;23;0;2;1;3;0,62;0,5455;0,94;0;10;40;50
"1457";1457;"2011-03-05";1;0;3;23;0;6;0;2;0,44;0,4394;0,77;0,2985;10;34;44
"12736";12736;"2012-06-19";2;1;6;20;0;2;1;1;0,8;0,7576;0,55;0,2537;59;399;458
"14761";14761;"2012-09-12";3;1;9;5;0;3;1;1;0,5;0,4848;0,72;0,0896;4;44;48
"14835";14835;"2012-09-15";3;1;9;7;0;6;0;1;0,54;0,5152;0,52;0,2836;10;63;73
"3492";3492;"2011-05-30";2;0;5;9;1;1;0;1;0,72;0,697;0,74;0,0896;47;81;128
